epoch,train_loss,val_loss,train_acc1,val_acc1,train_acc5,val_acc5
1,1.7861624684906006,1.4963587976455688,36.336,49.4,85.134,91.94
2,1.3840796733093261,1.2649506307601928,53.55,57.76,93.302,95.04
3,1.2078837327957153,1.1657349986076355,61.038,62.68,95.146,95.73
4,1.1059418254852296,1.0676768475532532,65.518,67.08,95.972,96.31
5,1.0226070101547242,1.0091519033432006,68.992,69.23,96.748,96.89
6,0.9474671598815918,0.9284389618873596,72.118,72.36,97.404,97.38
7,0.8960342674255372,0.9352844111442566,74.484,72.66,97.648,97.18
8,0.8505536629867554,0.8832395069122314,76.392,74.66,98.078,97.58
9,0.8105789303207398,0.8756836742401123,77.956,75.34,98.18,97.81
10,0.7900031134414672,0.8236597721099853,78.994,77.18,98.268,98.24
11,0.7596524934005737,0.7875968512535095,80.16,78.94,98.466,98.45
12,0.7377787864875793,0.8477008047103882,81.224,76.31,98.538,98.08
13,0.7189300356864929,0.9836335481643677,81.992,72.02,98.694,95.3
14,0.7027572225379943,0.9338656753540039,82.712,73.49,98.752,97.18
15,0.6868758352851868,0.867557428073883,83.438,76.34,98.824,97.58
16,0.6713652529525757,0.8354139991760254,83.98,77.12,98.882,97.86
17,0.6604799003601074,0.7737732615470886,84.598,79.93,98.908,98.28
18,0.6578644691276551,0.8542583757400513,84.546,76.44,99.048,97.51
19,0.6449554448699951,0.9343238444328308,85.078,74.09,98.92,96.61
20,0.6388137591934204,0.7764803341865539,85.392,80.06,99.024,97.68
21,0.6317051769828796,0.8400251479148865,85.596,77.91,98.992,97.68
22,0.6287752546691895,0.9018106223106385,85.954,75.88,99.026,96.26
23,0.6273797673225403,0.8159574221611023,85.826,77.93,99.05,98.26
24,0.6284935237503052,0.8257238647460937,85.88,77.92,99.084,97.54
25,0.6326484926986694,0.8438785676002503,85.658,77.2,99.012,97.52
26,0.6299213926506042,0.9677096406936645,85.758,72.37,99.02,97.42
27,0.6268574266242981,0.8323270508766174,85.996,77.54,98.978,97.38
28,0.6290580679321289,0.850230555152893,85.948,77.42,99.088,96.41
29,0.6303835938262939,0.7429370868682861,86.034,81.27,99.038,98.39
30,0.6230999356269836,0.9922612163543701,86.026,71.61,99.096,95.91
31,0.6310580584526062,1.0739004978179931,85.768,67.47,99.026,96.66
32,0.6391102325057983,0.9228643955230713,85.47,74.39,98.952,97.12
33,0.638345219707489,0.8758195562362671,85.528,75.72,99.002,97.49
34,0.6377700979042054,0.8260748477935791,85.466,77.85,98.998,97.77
35,0.6460925004386902,0.8341964763641357,85.232,77.05,98.888,97.78
36,0.6471976733970642,0.9772285314559936,85.11,71.61,98.934,96.6
37,0.6444973682022095,1.0075912900924682,85.402,71.09,98.924,96.0
38,0.6518097437667847,0.8125582008361817,84.922,78.91,98.91,97.47
39,0.6585402184677124,1.1993907408714295,84.716,64.43,98.956,93.67
40,0.6573373690605163,0.815038284111023,84.746,78.79,98.856,97.25
41,0.6686457102584838,0.8177930050849914,84.324,78.79,98.826,97.41
42,0.6707611673164368,0.9803116742134095,84.202,71.77,98.822,96.52
43,0.6734529660224915,0.8820246408462524,84.054,76.23,98.786,97.47
44,0.6767019874572754,0.8871618976593018,83.838,75.29,98.808,96.72
45,0.6784426325988769,0.837465984916687,83.964,77.64,98.78,97.71
46,0.6840058893203735,0.7971949779510498,83.738,79.04,98.764,98.08
47,0.6849840753746033,0.7907312424659729,83.79,79.46,98.762,97.76
48,0.6811492779541015,0.8571748244285583,84.018,76.4,98.78,97.93
49,0.6931533948707581,0.8836617290496827,83.372,75.14,98.678,97.6
50,0.6952385673332214,0.8125595561981201,83.196,78.44,98.684,97.85
51,0.7055367036247253,0.933420476436615,82.826,73.32,98.832,96.65
52,0.7089940463066101,1.0518199211120605,82.682,69.15,98.638,94.95
53,0.7129040196037293,0.8832643352508545,82.546,75.91,98.642,96.88
54,0.7175499074554443,1.0756639105796815,82.406,68.34,98.548,95.73
55,0.7303249769973755,0.9236952798843384,81.854,74.7,98.516,95.42
56,0.7345225862312317,0.964795178604126,81.684,72.09,98.556,96.9
57,0.7409456597709656,0.8248375682830811,81.344,78.05,98.362,98.24
58,0.7525802894973755,0.8884889427185059,80.882,75.7,98.47,96.76
59,0.7600525796508789,0.943467616558075,80.508,72.79,98.398,97.15
60,0.7730768365478515,0.854828421497345,80.124,76.83,98.212,97.62
61,0.781147682762146,0.8790787554740905,79.576,76.12,98.128,96.99
62,0.7891244847106934,1.0173317205429078,79.364,70.18,98.1,96.13
63,0.7900316912651062,1.0677467763900756,79.296,68.05,98.178,95.4
64,0.7963410588264466,0.9547102457046509,79.1,71.96,98.12,97.66
65,0.7964610454940796,0.8417979063034058,79.058,76.59,98.098,97.74
66,0.8013546479988098,0.8864903757095337,78.926,75.13,98.11,97.62
67,0.8140578951835632,0.9614631837844848,78.32,72.33,98.006,96.38
68,0.8285991619873047,0.8894198161125183,77.762,75.31,98.036,97.18
69,0.8419512049865723,0.9736671665191651,77.34,71.72,97.926,97.03
70,0.8460395193290711,0.880937735080719,77.146,75.09,97.892,97.83
71,0.8522372262573242,0.9698208452224731,76.742,71.66,97.822,97.32
72,0.866943057384491,0.9206397765159607,76.338,73.83,97.714,96.76
73,0.879840786857605,0.9210443976402283,75.832,72.83,97.586,97.34
74,0.8874548384475708,0.9869328260421752,75.384,70.2,97.624,97.05
75,0.8974784306335449,0.9228978769302368,75.1,73.68,97.576,97.44
76,0.9142641261291504,0.9735475619316101,74.374,71.34,97.416,96.77
77,0.9265911808013916,0.9077192770004272,73.878,74.1,97.312,97.33
78,0.9481203142929077,0.9634576711654663,73.094,71.94,97.098,97.19
79,0.9703417518997193,0.9900440976142884,72.054,70.74,97.002,96.88
80,0.984325995979309,1.0143420320510865,71.742,70.02,96.79,96.38
81,1.0105015574264526,0.986159114074707,70.508,70.88,96.628,97.04
82,1.0283176399612426,1.0436541007995606,69.882,68.44,96.514,95.94
83,1.0514746952819825,1.0480423077583314,69.01,68.35,96.386,96.7
84,1.0819418376922607,1.1049390922546387,67.63,65.62,96.092,95.42
85,1.121181385231018,1.0994576086044312,65.98,66.35,95.67,96.21
86,1.1524074614715576,1.1408911519050597,64.448,64.03,95.424,95.8
87,1.1869591727828979,1.159878503036499,63.022,63.77,95.168,95.39
88,1.2327434651565552,1.228314412689209,60.992,60.41,94.768,93.74
89,1.2690867943572999,1.2148328805923463,59.538,60.46,94.134,94.71
90,1.3196500706481933,1.2657647075653076,56.972,58.72,93.702,94.8
91,1.3527302280426026,1.3284664478302002,55.47,56.28,93.024,94.01
92,1.4163536771011354,1.3876818870544434,52.61,53.03,92.29,93.21
93,1.4788628156280517,1.4448096992492676,49.794,50.37,91.416,92.36
94,1.5478181938171387,1.532374733734131,46.576,46.18,90.384,91.05
95,1.6244239011383057,1.6172310094833373,42.732,42.53,89.232,89.47
96,1.7006481771469115,1.6920642011642455,39.062,39.31,87.598,87.24
97,1.7851436100006104,1.7981551477432252,35.19,34.16,85.438,85.54
98,1.8743020795059204,1.86172265625,31.158,31.73,83.054,83.24
99,1.9513868950653077,1.9668080348968506,27.988,27.5,80.62,79.65
100,2.0336233291625976,2.0477548250198363,24.892,23.93,77.67,77.81
